Variable Name,Variables for ML
SHOCKS_2,Work hours/pay reduced or business owned by self/HH mem had financial difficulty
SHOCKS_3,Received a foreclosure notice
SHOCKS_4,Had a major car or home repair
SHOCKS_5,Had a health emergency
SHOCKS_6,Got a divorce or separation
SHOCKS_7,Added a child to the household
SHOCKS_8,Experienced the death of primary breadwinner
SHOCKS_9,Received a large sum of money beyond normal income
SHOCKS_10,Had a child start daycare or college
SHOCKS_11,Provided unexpected financial support to a family member or friend
SHOCKS_12,Respondent did not select any item in SHOCKS bank
MANAGE2,Who in household makes financial decisions
PAIDHELP,Do you pay the person who helps take care of money matters in your household?
PAREDUC,Highest level of education by person/people who raised respondent
FINSOC2_1,Discussed family financial matters with me
FINSOC2_2,Spoke to me about the importance of saving
FINSOC2_3,Discussed how to establish a good credit rating
FINSOC2_4,Taught me how to be a smart shopper
FINSOC2_5,Taught me that my actions determine my success in life
FINSOC2_6,Provided me with a regular allowance
FINSOC2_7,Provided me with a savings account
OBJNUMERACY1,Which of the following represents the biggest risk of getting a disease?
MATERIALISM_1,"I admire people who own expensive homes, cars and clothes"
MATERIALISM_2,The things I own say a lot about how well I’m doing in life
MATERIALISM_3,I like to own things that impress people
CONNECT,Psychological connectedness
HEALTH,"In general, would you say your health is . . ."
SCFHORIZON,Financial planning time horizon
DISCOUNT,"If you had a choice, would you rather receive . . .?"
DISTRESS,Lot of stress in respondent's life
SELFCONTROL_1,I often act without thinking through all the alternatives
SELFCONTROL_2,I am good at resisting temptation
GOALCONF,Confidence in own ability to achieve financial goals
OUTLOOK_1,There are services in this area to help me
OUTLOOK_2,"There are good work opportunities for me, if I choose to take them"
INTERCONNECTIONS_1,Parent
INTERCONNECTIONS_2,Spouse/Partner
INTERCONNECTIONS_3,"Extended family (e.g., uncle, aunt, cousins, grandparents)"
INTERCONNECTIONS_4,Employer
INTERCONNECTIONS_5,Friends/Co-workers
INTERCONNECTIONS_6,Community or faith-based organizations
INTERCONNECTIONS_7,Financial institution
INTERCONNECTIONS_8,"Professional advisor, planner or counselor/coach"
INTERCONNECTIONS_9,Government
INTERCONNECTIONS_10,Respondent did not select any item in INTERCONNECTIONS bank
PEM,Everyone has a fair chance at moving up the economic ladder
HOUSESAT,How satisfied are you with the place you live currently?
LIFEEXPECT,How likely do you believe it is that you will live beyond age 75?
HHEDUC,Highest level of education of all household members
KIDS_NoChildren,I have no children that I support financially
KIDS_1,Less than 7 years old
KIDS_2,7 to 12 years old
KIDS_3,13 to 17 years old
KIDS_4,More than 18 years old
EMPLOY,Primary or only employment status
EMPLOY1_1,Self-employed
EMPLOY1_2,Work full-time for an employer or the military
EMPLOY1_3,Work part-time for an employer or the military
EMPLOY1_4,Homemaker
EMPLOY1_5,Full-time student
EMPLOY1_6,"Permanently sick, disabled or unable to work"
EMPLOY1_7,Unemployed or temporarily laid off
EMPLOY1_8,Retired
EMPLOY1_9,Respondent did not select any item in EMPLOY1 bank
MILITARY,Current/former member of US Armed Forces or spouse/dependent of service member
Military_Status,Military status
agecat,Age
generation,Generation
PPEDUC,Education (Highest Degree Received)
PPETHM,Race / Ethnicity
PPGENDER,Gender
PPHHSIZE,Household Size
PPINCIMP,Household Income
PPMARIT,Marital Status
PPREG4,Census Region
PPREG9,Census Division
PPT01,Presence of Household Members - Children 0-1
PPT25,Presence of Household Members - Children 2-5
PPT612,Presence of Household Members - Children 6-12
PPT1317,Presence of Household Members - Children 13-17
PPT18OV,Presence of Household Members - Adults 18+
